,DriverID,RideID,Location,Time,Date,ChargeKwhNeeded
147,4642,1425505,30.185 -97.663,18:06:38,2017-04-05,1.313309002433127
148,4642,1426011,30.214 -97.699,20:04:41,2017-04-05,1.313309002433127
149,3681,1422176,30.315 -97.71,01:01:52,2017-04-05,2.485132894442444
150,3681,1422342,30.27 -97.736,01:33:46,2017-04-05,2.485132894442444
151,3681,1424996,30.444 -97.757,15:59:19,2017-04-05,2.485132894442444
152,3681,1425809,30.287 -97.742,19:09:09,2017-04-05,2.485132894442444
153,3681,1426275,30.296 -97.686,20:59:06,2017-04-05,2.485132894442444
154,3681,1426740,30.315 -97.73,22:29:46,2017-04-05,2.485132894442444
155,4515,1422692,30.282 -97.735,02:40:32,2017-04-05,10.2616287192165
156,4515,1425620,30.214 -97.725,18:48:02,2017-04-05,10.2616287192165
157,719,1422272,30.266 -97.746,01:19:53,2017-04-05,21.969541001689095
158,4684,1423074,30.442 -97.771,04:13:05,2017-04-05,6.369509919653394
159,3901,1422801,30.27 -97.74,03:15:21,2017-04-05,22.331141502106448
160,1812,1422202,30.228 -97.767,01:02:23,2017-04-05,3.162960226721168
161,1812,1422484,30.253 -97.764,02:00:50,2017-04-05,3.162960226721168
162,1812,1422681,30.27 -97.736,02:37:29,2017-04-05,3.162960226721168
163,1812,1423287,30.286 -97.733,05:01:36,2017-04-05,3.162960226721168
164,1812,1425812,30.264 -97.744,19:10:55,2017-04-05,3.162960226721168
165,1812,1426236,30.269 -97.74,21:03:50,2017-04-05,3.162960226721168
166,3575,1422209,30.324 -97.705,01:04:53,2017-04-05,1.0527142656185353
167,3575,1422637,30.267 -97.738,02:29:52,2017-04-05,1.0527142656185353
168,3575,1422976,30.231 -97.726,03:41:33,2017-04-05,1.0527142656185353
169,3575,1423144,30.28 -97.72,04:16:25,2017-04-05,1.0527142656185353
170,3575,1424485,30.416 -97.748,14:28:26,2017-04-05,1.0527142656185353
171,3575,1424713,30.435 -97.734,14:57:28,2017-04-05,1.0527142656185353
172,3575,1424861,30.268 -97.743,15:33:21,2017-04-05,1.0527142656185353
173,3233,1422212,30.273 -97.757,01:04:26,2017-04-05,0.7957144029382199
174,3233,1424232,30.243 -97.737,13:25:40,2017-04-05,0.7957144029382199
175,3761,1424426,30.282 -97.74,14:00:03,2017-04-05,0.7957144029382199
176,3233,1424573,30.265 -97.739,14:42:01,2017-04-05,0.7957144029382199
177,3233,1424694,30.27 -97.743,14:53:00,2017-04-05,0.7957144029382199
178,3233,1424752,30.269 -97.772,15:13:38,2017-04-05,0.7957144029382199
179,3233,1425717,30.264 -97.744,19:00:52,2017-04-05,0.7957144029382199
180,3233,1426597,30.253 -97.712,22:03:59,2017-04-05,0.7957144029382199
181,3233,1426754,30.26 -97.758,22:24:54,2017-04-05,0.7957144029382199
182,4691,1423171,30.484 -97.793,04:23:50,2017-04-05,28.272550022006868
183,1099,1422224,30.255 -97.753,01:10:10,2017-04-05,11.863092957459164
184,1099,1423739,30.312 -97.668,09:10:11,2017-04-05,11.863092957459164
185,1099,1424344,30.395 -97.753,13:55:38,2017-04-05,11.863092957459164
186,4767,1422240,30.267 -97.741,01:17:24,2017-04-05,2.029358776541683
187,4767,1423079,30.28 -97.76,04:11:12,2017-04-05,2.029358776541683
188,4767,1424474,30.299 -97.694,14:14:52,2017-04-05,2.029358776541683
189,4767,1425570,30.265 -97.736,18:29:44,2017-04-05,2.029358776541683
190,4767,1427123,30.272 -97.73,23:14:38,2017-04-05,2.029358776541683
191,3454,1422279,30.264 -97.743,01:28:44,2017-04-05,4.235957235231897
192,3454,1423953,30.271 -97.734,11:59:29,2017-04-05,4.235957235231897
193,3454,1424393,30.269 -97.74,13:58:46,2017-04-05,4.235957235231897
194,3454,1424756,30.265 -97.746,15:09:40,2017-04-05,4.235957235231897
195,3454,1425128,30.289 -97.723,16:47:49,2017-04-05,4.235957235231897
196,1321,1422281,30.393 -97.848,01:48:40,2017-04-05,11.35195072024731
197,1321,1423425,30.262 -97.774,05:37:56,2017-04-05,11.35195072024731
198,1321,1425335,30.27 -97.749,17:22:12,2017-04-05,11.35195072024731
199,1321,1425886,30.266 -97.739,19:48:00,2017-04-05,11.35195072024731
200,1061,1423119,30.262 -97.723,04:14:07,2017-04-05,13.322420661933938
201,1857,1422301,30.156 -97.792,01:22:00,2017-04-05,0.08721945554692198
202,1857,1422717,30.093 -97.872,02:49:14,2017-04-05,0.08721945554692198
203,1857,1423601,30.26 -97.739,08:07:30,2017-04-05,0.08721945554692198
204,1857,1423710,30.203 -97.667,08:30:07,2017-04-05,0.08721945554692198
205,1857,1425052,30.268 -97.745,16:32:22,2017-04-05,0.08721945554692198
206,1857,1425236,30.443 -97.783,17:18:52,2017-04-05,0.08721945554692198
207,4726,1422338,30.252 -97.743,01:43:30,2017-04-05,4.48992362488072
208,4726,1422963,30.435 -97.697,03:58:44,2017-04-05,4.48992362488072
209,4726,1423899,30.453 -97.824,11:21:43,2017-04-05,4.48992362488072
210,4726,1424729,30.479 -97.835,15:11:26,2017-04-05,4.48992362488072
211,4229,1423280,30.3 -97.776,05:00:34,2017-04-05,7.463542464216137
212,4229,1424976,30.277 -97.74,16:12:36,2017-04-05,7.463542464216137
213,1042,1423167,30.289 -97.752,04:26:16,2017-04-05,23.020398562806687
214,1042,1424753,30.556 -97.616,15:38:39,2017-04-05,23.020398562806687
215,2880,1422480,30.177 -97.753,02:07:54,2017-04-05,3.360778310498868
216,2880,1425188,30.252 -97.709,16:48:42,2017-04-05,3.360778310498868
217,2880,1425503,30.254 -97.737,18:13:14,2017-04-05,3.360778310498868
218,2880,1425953,30.192 -97.892,20:01:55,2017-04-05,3.360778310498868
219,3820,1422359,30.239 -97.712,01:50:28,2017-04-05,1.1890069097671274
220,3820,1423176,30.238 -97.713,04:30:11,2017-04-05,1.1890069097671274
221,3820,1425407,30.324 -97.725,17:58:57,2017-04-05,1.1890069097671274
222,3820,1425591,30.282 -97.736,18:35:54,2017-04-05,1.1890069097671274
223,3820,1427188,30.321 -97.74,23:36:15,2017-04-05,1.1890069097671274
224,2201,1422362,30.202 -97.839,01:45:43,2017-04-05,1.7996662951049391
225,2201,1422765,30.268 -97.736,02:57:39,2017-04-05,1.7996662951049391
226,2656,1424787,30.247 -97.75,15:22:55,2017-04-05,1.7996662951049391
227,2201,1425023,30.203 -97.667,16:18:54,2017-04-05,1.7996662951049391
228,2201,1425144,30.256 -97.712,16:39:46,2017-04-05,1.7996662951049391
229,2201,1425249,30.203 -97.668,17:07:41,2017-04-05,1.7996662951049391
230,2201,1425857,30.333 -97.712,19:31:05,2017-04-05,1.7996662951049391
231,2642,1422700,30.26 -97.739,02:39:12,2017-04-05,3.870101400091772
232,2642,1423022,30.276 -97.683,03:57:02,2017-04-05,3.870101400091772
233,3745,1422577,30.419 -97.668,02:19:47,2017-04-05,3.9266332870095413
234,3745,1422791,30.318 -97.728,03:11:36,2017-04-05,3.9266332870095413
235,3745,1423234,30.254 -97.737,04:43:45,2017-04-05,3.9266332870095413
236,2342,1422422,30.283 -97.747,01:51:10,2017-04-05,3.2202731653471557
237,2342,1424352,30.244 -97.846,13:56:59,2017-04-05,3.2202731653471557
238,2342,1424808,30.267 -97.743,15:24:20,2017-04-05,3.2202731653471557
239,2342,1425531,30.313 -97.707,18:14:01,2017-04-05,3.2202731653471557
240,2342,1425843,30.271 -97.67,19:37:19,2017-04-05,3.2202731653471557
241,2342,1426090,30.203 -97.667,20:25:59,2017-04-05,3.2202731653471557
242,4241,1423372,30.284 -97.751,05:29:32,2017-04-05,9.51959056344687
243,4753,1422489,30.252 -97.723,02:06:15,2017-04-05,21.80952815806031
244,4753,1423467,30.229 -97.8,06:13:57,2017-04-05,21.80952815806031
245,4845,1423066,30.235 -97.741,04:07:57,2017-04-05,3.1614634208236794
246,4845,1423314,30.246 -97.731,05:04:12,2017-04-05,3.1614634208236794
247,4845,1425679,30.264 -97.744,18:46:03,2017-04-05,3.1614634208236794
248,2045,1425876,30.271 -97.754,19:31:17,2017-04-05,3.1614634208236794
249,4845,1426290,30.262 -97.742,21:25:49,2017-04-05,3.1614634208236794
250,4845,1426634,30.197 -97.768,22:23:51,2017-04-05,3.1614634208236794
251,3554,1423058,30.215 -97.749,03:59:17,2017-04-05,10.638707820760423
252,2747,1423065,30.346 -97.728,04:13:34,2017-04-05,14.796219030576578
